Tub,Replicate,Species,Weight (g),Notes
1 HWO,2,BOMA,NA,
1 LW,2,PHAU,11.2,
1 LW,2,EUMA,NA,
1 LW,2,SOCA,27.9,
1 LW,2,EUOC,4.3,
1 LW,2,SCAC,NA,
1 LW,2,SCAM,NA,
1 LW,2,DISP,NA,
1 LW,2,MUAS,1.2,
1 LW,2,PUNU,25.5,
1 LW,2,BOMA,NA,
1 LWO,2,PHAU ,NA,
1 LWO,2,EUMA,13,
1 LWO,2,SOCA,9.4,
1 LWO,2,EUOC,6.6,
1 LWO,2,SCAC,NA,
1 LWO,2,SCAM,NA,
1 LWO,2,DISP,NA,
1 LWO,2,MUAS,1.2,
1 LWO,2,PUNU,17.6,
1 LWO,2,BOMA,NA,
2 HW,2,PHAU,0.6,
2 HW,2,EUMA,4.7,
2 HW,2,SOCA,5.4,
2 HW,2,EUOC,4.8,
2 HW,2,SCAC,NA,
2 HW,2,SCAM,NA,
2 HW,2,DISP,T,
2 HW,2,MUAS,1.3,
2 HW,2,PUNU,85.1,
2 HW,2,BOMA,NA,
2 HWO,2,PHAU ,NA,
2 HWO,2,EUMA,13.2,
2 HWO,2,SOCA,10,
2 HWO,2,EUOC,9.4,
2 HWO,2,SCAC,T,
2 HWO,2,SCAM,NA,
2 HWO,2,DISP,NA,
2 HWO,2,MUAS,2.8,
2 HWO,2,PUNU,60.8,
2 HWO,2,BOMA,NA,
2 LW,2,PHAU,1.5,
2 LW,2,EUMA,5.2,
2 LW,2,SOCA,4.7,
2 LW,2,EUOC,3.2,
2 LW,2,SCAC,NA,
2 LW,2,SCAM,NA,
2 LW,2,DISP,0.1,
2 LW,2,MUAS,1.4,
2 LW,2,PUNU,15.2,
2 LW,2,BOMA,NA,
2 LWO,2,PHAU ,NA,
2 LWO,2,EUMA,15.2,
2 LWO,2,SOCA,17.7,
2 LWO,2,EUOC,2.7,
2 LWO,2,SCAC,NA,
2 LWO,2,SCAM,T,
2 LWO,2,DISP,NA,
2 LWO,2,MUAS,4.2,
2 LWO,2,PUNU,28.9,
2 LWO,2,BOMA,NA,
3 HW,2,PHAU,NA,
3 HW,2,EUMA,6.9,
3 HW,2,SOCA,9.8,
3 HW,2,EUOC,2.7,
3 HW,2,SCAC,T,
3 HW,2,SCAM,NA,
3 HW,2,DISP,NA,
3 HW,2,MUAS,1,
3 HW,2,PUNU,47.1,
3 HW,2,BOMA,NA,
3 HWO,2,PHAU ,NA,
3 HWO,2,EUMA,10,
3 HWO,2,SOCA,16.7,
3 HWO,2,EUOC,12.8,
3 HWO,2,SCAC,T,
3 HWO,2,SCAM,NA,
3 HWO,2,DISP,NA,
3 HWO,2,MUAS,4.4,
3 HWO,2,PUNU,49.3,
3 HWO,2,BOMA,NA,
3 LW,2,PHAU,15.7,
3 LW,2,EUMA,12.5,
3 LW,2,SOCA,8.8,
3 LW,2,EUOC,8,
3 LW,2,SCAC,0.1,
3 LW,2,SCAM,NA,
3 LW,2,DISP,NA,
3 LW,2,MUAS,T,
3 LW,2,PUNU,12,
3 LW,2,BOMA,NA,
3 LWO,2,PHAU ,NA,
3 LWO,2,EUMA,0.5,
3 LWO,2,SOCA,4.3,
3 LWO,2,EUOC,1.9,
3 LWO,2,SCAC,NA,
3 LWO,2,SCAM,NA,
3 LWO,2,DISP,NA,
3 LWO,2,MUAS,1.2,
3 LWO,2,PUNU,14.1,
3 LWO,2,BOMA,NA,
4 HW,2,PHAU,1.6,
4 HW,2,EUMA,6.5,
4 HW,2,SOCA,8.5,
4 HW,2,EUOC,5,
4 HW,2,SCAC,NA,
4 HW,2,SCAM,NA,
4 HW,2,DISP,NA,
4 HW,2,MUAS,3,
4 HW,2,PUNU,32.1,
4 HW,2,BOMA,NA,
4 HWO,2,PHAU ,NA,
4 HWO,2,EUMA,2.5,
4 HWO,2,SOCA,3.4,
4 HWO,2,EUOC,2.9,
4 HWO,2,SCAC,T,
4 HWO,2,SCAM,,
4 HWO,2,DISP,NA,
4 HWO,2,MUAS,1.2,
4 HWO,2,PUNU,26.3,
4 HWO,2,BOMA,NA,
4 LW,2,PHAU,9.9,
4 LW,2,EUMA,10.1,
4 LW,2,SOCA,10.1,
4 LW,2,EUOC,5.3,
4 LW,2,SCAC,NA,
4 LW,2,SCAM,NA,
4 LW,2,DISP,NA,
4 LW,2,MUAS,2.7,
4 LW,2,PUNU,31.5,
4 LW,2,BOMA,NA,
4 LWO,2,PHAU ,NA,
4 LWO,2,EUMA,18.5,
4 LWO,2,SOCA,4,
4 LWO,2,EUOC,3.9,
4 LWO,2,SCAC,NA,
4 LWO,2,SCAM,NA,
4 LWO,2,DISP,NA,
4 LWO,2,MUAS,0.7,
4 LWO,2,PUNU,12.9,
4 LWO,2,BOMA,NA,
PHAU,2,PHAU,4.6,
1 HW,4,PHAU,2.4,
1 HW,4,EUMA,35.4,
1 HW,4,SOCA,2.6,
1 HW,4,EUOC,2.3,
1 HW,4,SCAC,0.1,
1 HW,4,SCAM,NA,
1 HW,4,DISP,NA,
1 HW,4,MUAS,2.4,
1 HW,4,PUNU,16.4,
1 HW,4,BOMA,NA,
1 HWO,4,PHAU ,NA,
1 HWO,4,EUMA,15.4,
1 HWO,4,SOCA,10.6,
1 HWO,4,EUOC,12,
1 HWO,4,SCAC,NA,
1 HWO,4,SCAM,NA,
1 HWO,4,DISP,NA,
1 HWO,4,MUAS,1.7,
1 HWO,4,PUNU,29.4,
1 HWO,4,BOMA,NA,
1 LW,4,PHAU,0.6,
1 LW,4,EUMA,NA,
1 LW,4,SOCA,13.5,
1 LW,4,EUOC,4.2,
1 LW,4,SCAC,NA,
1 LW,4,SCAM,NA,
1 LW,4,DISP,NA,
1 LW,4,MUAS,0.2,
1 LW,4,PUNU,24,
1 LW,4,BOMA,NA,
1 LWO,4,PHAU ,NA,
1 LWO,4,EUMA,0.6,
1 LWO,4,SOCA,16.6,
1 LWO,4,EUOC,1.9,
1 LWO,4,SCAC,NA,
1 LWO,4,SCAM,NA,
1 LWO,4,DISP,NA,
1 LWO,4,MUAS,0.9,
1 LWO,4,PUNU,9.3,
1 LWO,4,BOMA,NA,
2 HW,4,PHAU,0.8,
2 HW,4,EUMA,0.6,
2 HW,4,SOCA,8.3,
2 HW,4,EUOC,2.4,
2 HW,4,SCAC,NA,
2 HW,4,SCAM,NA,
2 HW,4,DISP,NA,
2 HW,4,MUAS,0.4,
2 HW,4,PUNU,70.7,
2 HW,4,BOMA,NA,
2 HWO,4,PHAU ,NA,
2 HWO,4,EUMA,13.8,
2 HWO,4,SOCA,12.6,
2 HWO,4,EUOC,4.1,
2 HWO,4,SCAC,NA,
2 HWO,4,SCAM,NA,
